Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,,RETESTE,,,,,,,,,,,,,,,,,,,,Segunda,Terça,Quarta,Quinta,Sexta,Sábado ,Domingo 
,,,,,,,,,,,,,,,,,,,,,,Empurrada,Vo2 max ,Descanso ,Puxada,Perna ,Aula ,Descanso 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Treino ,N,Exercício ,BUILD UP,,,Confere !,,,,Série 2,,,Série 3,,,1 RM (Kg),1RM (Kg) Inicial,Melhora ,,,,,,,,
,,,,,Carga (Kg),Repetições ,Descanso ,Teste ,Repetições ,Confere ,Descanso ,Carga (Kg),Repetições ,Descanso ,Carga (Kg),Repetições ,Descanso ,,,,,,,,,,,
,,"Membros Superiores 
Empurrada ",1,Supino Reto ( Bench Press ) ,64,5 a 7 ,3 minutos ,80,4,5,3 minutos ,105,5,3 minutos ,108,3,3 minutos ,118.7892,90.656,0.3103291564,,,,,,,,
,,,2,Supino Inclinado com Barra,0,5 a 7 ,3 minutos ,,,,3 minutos ,,,3 minutos ,,,3 minutos ,0,0,0,,,,,,,,
,,,3,Dumbbell Shoulder Press ,0,5 a 7 ,3 minutos ,,,,3 minutos ,,,3 minutos ,,,3 minutos ,0,0,0,,,,,,,,
,,,4,Remada Alta com Barra,0,5 a 7 ,3 minutos ,,,,3 minutos ,,,3 minutos ,,,3 minutos ,0,0,0,,,,,,,,
,,,5,Tríceps Pulley,0,5 a 7 ,3 minutos ,,,,3 minutos ,,,3 minutos ,,,3 minutos ,0,0,0,,,,,,,,
,,"Membros Superiores 
Puxada ",1,Remada Inclinada ( Barbell Row ),0,5 a 7 ,3 minutos ,,,,3 minutos ,,,3 minutos ,,,3 minutos ,0,0,0,,,,,,,,
,,,2,Puxada Frontal ( Supinação ),0,5 a 7 ,3 minutos ,,,,3 minutos ,,,3 minutos ,,,3 minutos ,0,0,0,,,,,,,,
,,,3,Remada Inclinada com Halter,0,5 a 7 ,3 minutos ,,,,3 minutos ,,,3 minutos ,,,3 minutos ,0,0,0,,,,,,,,
,,,4,Voador Inverso no banco inclinado com Halter,0,5 a 7 ,3 minutos ,,,,3 minutos ,,,3 minutos ,,,3 minutos ,0,0,0,,,,,,,,
,,,5,Rosca Martelo com Halter,0,5 a 7 ,3 minutos ,,,,3 minutos ,,,3 minutos ,,,3 minutos ,0,0,0,,,,,,,,
,,"Membros
Inferiores ",1,Agachamento com Barra nas Costas (Back Squat),0,5 a 7 ,3 minutos ,,,,3 minutos ,,,3 minutos ,,,3 minutos ,0,0,0,,,,,,,,
,,,2,Levantamento Terra ( Deadlift),0,5 a 7 ,3 minutos ,,,,3 minutos ,,,3 minutos ,,,3 minutos ,0,0,0,,,,,,,,
,,,3,Afundo com Halteres,0,5 a 7 ,3 minutos ,,,,3 minutos ,,,3 minutos ,,,3 minutos ,0,0,0,,,,,,,,
,,,4,Stiff com Halter,0,5 a 7 ,3 minutos ,,,,3 minutos ,,,3 minutos ,,,3 minutos ,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assessment,Date,Distance ( meters),"Vo2 Max 
(ml/kg/min)","Vvo2 Max
 (Km/h)",Improvement,,,,,,,,,,,,,,,,,,,,,,
,Old,2026-01-19 00:00:00,2600,46.67928731,13,-1,,,,,,,,,,,,,,,,,,,,,,
,New,,,-11.22717149,0,,,,,,,,,,,,,,,,,,,,,,,
