Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,TABELA DE EXERCICIOS - caso queiro moficicar usar essa. ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Pull ,1.0,Remada Inclinada ( Barbell Row ),,
,,,,,,,,,,,,,,,,,,,,,,2.0,Lat Pull Down ,Puxada Frontal ( Supinação ),Puxada Frontal ( Triangulo )
,,,,,,,,,,,,,,,,,,,,,,3.0,Remada Inclinada com Halter,Remada Baixa ,Remada Sentada na Máquina
,,,,,,,,,,,,,,,,,,,,,,4.0,Voador Inverso no banco inclinado com Halter,Voador Inverso na Maquina,Crossover na Polia Alta
,,,,,,,,,,,,,,,,,,,,,,5.0,Rosca Martelo com Halter,Rosca Direta com Barra W,Rosca na Máquina (Scott)
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Push ,1.0,Supino Reto ( Bench Press ) ,,
,,,,,,,,,,,,,,,,,,,,,,2.0,Supino Inclinado com Halteres,Supino Inclinado com Barra,Supino Inclinado na Máquina
,,,,,,,,,,,,,,,,,,,,,,3.0,Dumbbell Shoulder Press ,Desenvolvimento com Barra ( Shoulder Press ),Shoulder Press na Máquina
,,,,,,,,,,,,,,,,,,,,,,4.0,Dumbbell Evelação Lateral ,Elevação Lateral Inclinada com Halter,Remada Alta com Barra
,,,,,,,,,,,,,,,,,,,,,,5.0,Tríceps Pulley,Tríceps Francês com Halter,Tríceps Testa com Barra
,,,,,,,,,,,,,,,,,,,,,,,,,
